GEOID,male_5to9,male_10to14,male_15to17,total_pop,race_white_only,race_Black_only,race_Asian_only,race_pacific_islander_only,at_least_two_races,SSI_pubassist_foodstamps,med_household_inc_12mo,house_units_w_mortgage,med_gross_rent,comp_internet_subscrip_in_house,District,District Nbr
"2700379",263,521,230,12574,11973,103,41,26,217,3173,70173,3948,908,4810,Tri-City United School District,"2905"
"2700382",115,163,74,3375,3311,10,3,0,27,784,68953,1241,603,1448,Brandon-Evansville Public Schools,"2908"
"2700383",208,259,125,7715,6968,187,157,15,92,1563,59160,1996,750,3037,Morris Area Public Schools,"2769"
"2700385",94,88,32,2140,2020,19,1,0,36,573,60729,695,491,801,Red Lake County Central Public Schools,"2906"
"2702640",163,138,69,3123,3076,5,2,0,40,882,64006,1024,549,1179,Lester Prairie Public School District,"0424"
"2702720",111,131,92,3484,3450,1,16,0,14,777,67383,1161,574,1337,Southland Public School District,"0500"
"2702730",81,92,48,2353,2251,7,31,0,36,598,61205,765,633,929,Adrian Public School District,"0511"
"2702760",355,184,140,9418,9034,49,36,14,131,1491,50395,3749,802,4583,Aitkin Public School District,"0001"
"2702910",168,125,137,7148,6025,33,38,0,254,1238,51654,2732,753,3362,Walker-Hackensack-Akeley School District,"0113"
"2702930",387,330,202,9510,9280,92,27,0,105,2544,76725,2975,630,3483,Albany Public School District,"0745"
"2702970",794,789,418,23200,20824,318,739,0,515,5196,50433,7306,684,9904,Albert Lea Public School District,"0241"
"2703030",33,35,26,1324,1305,0,3,0,13,259,62708,497,639,580,Alden-Conger Public School District,"0242"
"2703060",854,983,492,30393,29359,134,113,0,502,6466,64896,9840,744,13605,Alexandria Public School District,"0206"
"2703150",328,365,271,11068,10656,47,26,0,46,2317,74045,3889,888,4509,Annandale Public School District,"0876"
"2703180",8638,8968,5996,241076,198940,18100,13159,117,7311,60103,85112,70537,1162,86851,Anoka-Hennepin Public School District,"0011"
"2703300",66,52,28,1528,1471,2,2,0,30,408,62000,463,782,596,Ashby Public School District,"0261"
"2703450",1165,979,554,28565,23597,1527,1409,248,685,7152,50128,7719,734,11258,Austin Public School District,"0492"
"2703540",49,54,19,1153,1111,1,14,0,26,296,53036,405,655,490,Badger Public School District,"0676"
"2703570",216,273,153,6312,5276,16,17,2,340,1627,50974,1873,706,2361,Bagley Public School District,"0162"
"2703660",196,175,87,4572,4363,40,13,5,69,1241,80500,1491,735,1774,Barnesville Public School District,"0146"
"2703690",108,137,68,3790,3686,2,27,0,54,865,68700,1360,786,1536,Barnum Public School District,"0091"
"2703750",82,95,36,3820,3692,15,1,2,77,558,58644,1562,814,1781,Battle Lake Public School District,"0542"
"2703870",520,434,315,12049,11593,58,53,0,225,3530,93302,3714,1036,4052,Becker Public School District,"0726"
"2704050",383,318,241,9512,8910,179,216,2,48,2606,83883,2733,969,3130,Belle Plaine Public School District,"0716"
"2704440",1386,1312,721,38793,32391,677,393,32,1891,8603,52557,10475,811,15227,Bemidji Public School District,"0031"
"2704470",181,168,120,5258,5016,170,23,0,36,1163,54882,1614,696,2405,Benson Public School District,"0777"
"2705430",130,111,90,3460,3330,29,0,0,96,866,47868,1133,626,1408,Bertha-Hewitt Public School District,"0786"
"2705460",798,643,431,18463,16971,283,166,0,388,4907,90912,5508,968,6216,Big Lake Public School District,"0727"
"2705660",145,166,88,4857,4535,9,24,0,67,1015,61571,1533,678,2070,Bird Island-Olivia-Lake Lillian,"2534"
"2705730",126,155,50,3766,3441,20,34,0,91,859,46250,1228,634,1513,Blackduck Public School District,"0032"
"2705760",158,111,99,4142,4054,5,4,3,19,1076,68000,1374,719,1602,Blooming Prairie Public School District,"0756"
"2705790",2253,2752,1512,85294,64245,8188,4574,11,3565,17013,75132,23845,1178,35469,Bloomington Public School District,"0271"
"2706060",209,159,109,5845,5558,71,13,0,176,1274,58932,1939,866,2383,Braham Public School District,"0314"
"2706090",1621,1423,838,43641,41555,421,243,2,768,10109,57484,13144,823,17968,Brainerd Public School District,"0181"
"2706150",111,137,130,4705,4626,25,1,0,27,1020,57043,1632,509,2191,Breckenridge Public School District,"0846"
"2706240",346,263,86,8169,4351,2356,646,0,288,2270,55976,1695,1066,3143,Brooklyn Center School District,"0286"
"2706300",148,114,149,4039,3838,24,34,0,126,1058,53308,1266,589,1508,Browerville Public School District,"0787"
"2707200",1520,1123,809,33830,32760,190,268,0,380,9219,82205,9914,986,12253,Buffalo-Hanover-Montrose Public Schools,"0877"
"2707290",1932,1925,1481,68261,49844,8808,4159,101,2554,15803,78002,18464,1152,27139,Burnsville Public School District,"0191"
"2707320",23,31,16,988,848,0,102,0,14,250,54659,342,650,385,Butterfield Public School District,"0836"
"2707350",326,367,219,8120,7847,12,162,0,83,2318,93871,2746,971,3088,Byron Public School District,"0531"
"2707380",162,207,94,5839,5644,125,31,0,12,1281,56910,2095,657,2555,Caledonia Public School District,"0299"
"2707410",1062,1224,636,30274,28745,152,542,6,568,7526,76113,9070,1031,11174,Cambridge-Isanti Public School District,"0911"
"2707450",27,29,11,624,611,0,0,0,11,158,60234,220,850,253,Campbell-Tintah Public School District,"0852"
"2707470",107,121,65,3173,3102,11,6,0,39,640,53750,1156,471,1417,Canby Public School District,"0891"
"2707500",222,286,133,7757,7563,0,50,0,133,1687,76715,2508,908,3112,Cannon Falls Public School District,"0252"
"2707590",113,112,132,4545,3896,30,52,0,148,914,63393,1511,663,1825,Carlton Public School District,"0093"
"2708070",249,208,113,4529,1612,17,44,2,336,1571,43094,1093,634,1665,Cass Lake-Bena Public Schools,"0115"
"2708100",916,1458,710,32855,28972,964,1187,0,1295,7945,98067,9904,1213,11216,Centennial Public School District,"0012"
"2708190",2254,2368,1465,59136,53048,1272,2417,0,1664,15881,103848,17306,1227,21640,Eastern Carver County Public Schools,"0112"
"2708220",188,204,129,5198,5070,38,20,0,58,1262,76761,1681,759,2082,Chatfield Public Schools,"0227"
"2708880",10,11,0,240,235,0,0,0,5,45,96875,89,870,98,Franconia Public School District,"0323"
"2708910",288,275,61,5837,5647,33,3,13,136,1388,43704,1868,608,2564,Chisholm Public School District,"0695"
"2708940",28,44,35,1347,1226,2,20,0,15,261,61250,376,654,464,Chokio-Alberta Public School District,"0771"
"2709330",40,99,67,2576,2536,3,24,0,8,608,83676,952,752,1012,Cleveland Public School District,"0391"
"2709360",33,18,14,868,798,0,4,5,14,213,54583,291,606,348,Climax-Shelly Public Schools,"0592"
"2709420",512,661,304,14442,12478,192,101,0,497,3768,56274,4136,794,5676,Cloquet Public School District,"0094"
"2709440",414,497,240,13403,12883,20,35,2,134,3193,74805,4513,822,5200,ROCORI Public School District,"0750"
"2709480",280,307,221,8810,8237,56,24,0,227,2139,55088,2989,726,3561,Greenway Public School District,"0316"
"2709510",829,642,347,26421,16797,4832,1520,15,1329,5594,57973,6950,963,10766,Columbia Heights Public School District,"0013"
"2709540",36,37,45,949,930,2,2,0,11,254,56583,344,600,401,Comfrey Public School District,"0081"
"2709690",64,82,40,1824,1803,0,0,0,15,385,57813,608,852,778,Cromwell-Wright Public Schools,"0095"
"2709720",197,399,262,9447,8474,227,216,4,197,2096,57853,2507,711,3605,Crookston Public School District,"0593"
"2709750",297,296,201,11019,10482,77,20,0,346,2047,53082,3796,760,4731,Crosby-Ironton Public School District,"0182"
"2710060",362,484,313,10033,9526,72,66,14,203,2730,68841,2766,784,3549,Dassel-Cokato Public School District,"0466"
"2710090",87,103,63,2849,2744,40,12,0,21,574,54188,1020,545,1246,Dawson-Boyd Public School District,"0378"
"2710140",240,152,105,5287,4246,23,0,0,111,1185,54215,1804,655,2175,Deer River Public School District,"0317"
"2710170",483,642,349,12081,11489,80,35,0,409,3464,102685,3527,858,4206,Delano Public School District,"0879"
"2710230",630,531,390,17837,15892,118,165,0,698,4179,59833,5408,763,7395,Detroit Lakes Public School District,"0022"
"2710260",197,197,76,5794,5417,57,9,18,84,1439,73618,1870,532,2315,Dilworth-Glyndon-Felton,"2164"
"2711010",199,187,99,4239,4079,44,21,0,30,1211,79200,1388,686,1642,Dover-Eyota Public School District,"0533"
"2711040",2124,2377,1490,93687,84464,1973,1406,37,3708,16821,54924,24464,827,39075,Duluth Public School District,"0709"
"2711085",182,218,110,6796,5717,418,66,0,222,1234,44590,1723,796,2186,East Central School District,"2580"
"2711130",454,412,151,10119,9112,392,41,0,262,2652,63852,2885,721,4145,East Grand Forks Public School District,"0595"
"2711190",170,131,80,4800,4697,17,11,0,64,1122,60662,1576,677,1944,Eden Valley-Watkins School District,"0463"
"2711220",155,111,42,2406,2365,3,8,0,16,703,60302,777,736,945,Edgerton Public School District,"0581"
"2711250",1430,1823,1054,42319,36789,722,3205,0,1174,10878,126400,12624,1378,16515,Edina Public School District,"0273"
"2711370",3276,2471,1690,74808,69242,1346,1866,0,1543,21034,100970,21795,1143,25234,Elk River Public School District,"0728"
"2711460",18,31,28,964,940,3,9,0,4,223,55375,321,655,404,Ellsworth Public School District,"0514"
"2711520",73,66,57,4960,4848,32,11,0,28,646,48157,1862,498,2431,Ely Public School District,"0696"
"2711670",1691,1688,1026,42190,39493,703,734,30,992,10700,128582,13627,1229,15805,Minnetonka Public School District,"0276"
"2711760",905,1056,694,30854,24551,3289,518,26,810,6996,60551,7939,835,11278,Faribault Public School District,"0656"
"2711820",1273,1460,952,35564,31942,473,848,35,1203,11093,97466,10633,1140,12187,Farmington Public School District,"0192"
"2711880",719,532,344,19514,18572,392,123,0,258,4297,54087,5837,666,8455,Fergus Falls Public School District,"0544"
"2711910",75,136,72,3044,2951,3,9,0,33,787,64122,1007,654,1212,Fertile-Beltrami School District,"0599"
"2712180",29,23,22,937,886,17,0,1,3,233,76136,274,742,348,Fisher Public School District,"0600"
"2712210",20,34,29,1400,1378,3,0,0,13,248,46875,535,538,633,Floodwood Public School District,"0698"
"2712240",403,445,209,9364,8983,41,36,0,203,2828,75984,2831,686,3325,Foley Public School District,"0051"
"2712270",1324,1643,750,48995,45163,567,1392,23,1105,11036,86569,14897,1135,18052,Forest Lake Public School District,"0831"
"2712300",113,132,73,3905,3560,63,25,6,142,916,51386,1161,802,1575,Fosston Public School District,"0601"
"2712360",237,198,108,6515,6192,28,12,2,80,1544,60930,2093,757,2539,Frazee-Vergas Public School District,"0023"
"2712420",492,495,163,15937,10964,2817,1100,17,413,3461,61773,3679,975,6246,Fridley Public School District,"0014"
"2712480",85,83,18,2497,2339,3,97,0,41,542,62500,849,795,1018,Fulda Public School District,"0505"
"2712580",197,182,102,5940,5416,52,57,0,51,1445,58352,1975,638,2434,G.F.W. Schools,"2365"
"2712900",119,104,81,3189,3073,8,3,0,22,902,76897,993,954,1218,Goodhue Public School District,"0253"
