"","GEOID","District","District.Nbr","male_5to9","male_10to14","male_15to17","total_pop","race_white_only","race_Black_only","race_Asian_only","race_pacific_islander_only","at_least_two_races","SSI_pubassist_foodstamps","med_household_inc_12mo","house_units_w_mortgage","med_gross_rent","comp_internet_subscrip_in_house","CONUM","CSA","CBSA","ENROLL","TOTALREV","TFEDREV","FEDRCOMP","FEDRSPEC","FEDRNUTR","FEDROTHR","TSTREV","STRFORM","STRSPEC","STRTRANS","STROTHR","TLOCREV","LOCRTAX","LOCRPROP","LOCRPAR","LOCRCICO","LOCROSCH","LOCRCHAR","LOCROTHR","TOTALEXP","TCURSPND","TSALWAGE","TEMPBENE","TCURINST","TCURISAL","TCURIBEN","TCURSSVC","TCURSPUP","TCURSSTA","TCURSGEN","TCURSSCH","TCURSOTH","TCURONON","TCAPOUT","TPAYOTH","TINTRST","DEBTOUT","LONGISSU","LONGRET","PCTTOTAL","PCTFTOT","PCTFCOMP","PCTSTOT","PCTSFORM","PCTLTOT","PCTLTAXP","PCTLOTHG","PCTLCHAR","PPCSTOT","PPSALWG","PPEMPBEN","PPITOTAL","PPISALWG","PPIEMBEN","PPSTOTAL","PPSPUPIL","PPSSTAFF","PPSGENAD","PPSSCHAD","Avg.Comp"
"57",2702930,"Albany Public School District",745,387,330,202,9510,9280,92,27,0,105,2544,76725,2975,630,3483,"27145","378","41060",1788,24099,518,113,0,329,76,16889,12239,1964,851,1835,6692,4120,4120,0,25,44,1706,797,37962,19429,13451,3150,12090,9129,2096,4927,345,802,489,905,2386,2412,16657,623,1253,36720,0,1424,100,2.1,0.5,70.1,50.8,27.8,17.1,0.3,7.1,10149,7523,1762,6762,5106,1172,2756,193,449,273,506,20.6
"58",2702970,"Albert Lea Public School District",241,794,789,418,23200,20824,318,739,0,515,5196,50433,7306,684,9904,"27047","N","10660",3535,53667,2977,689,777,1080,431,40318,25822,6903,44,7549,10372,7720,7720,0,77,256,1209,1110,52042,48280,28122,11502,31834,21134,8498,13366,1355,1883,1456,2051,6621,3080,2167,1020,575,22897,0,2684,100,5.5,1.3,75.1,48.1,19.3,14.4,0.6,2.3,13331,7955,3254,9005,5979,2404,3781,383,533,412,580,19
"59",2703030,"Alden-Conger Public School District",242,33,35,26,1324,1305,0,3,0,13,259,62708,497,639,580,"27047","N","10660",497,7061,280,0,0,100,180,4968,3907,509,0,552,1813,1170,1170,0,13,0,186,444,6971,5909,3188,988,3883,2387,690,1699,53,72,133,336,1105,327,497,166,399,12045,0,426,100,4,0,70.4,55.3,25.7,16.6,0.2,2.6,11722,6414,1988,7813,4803,1388,3419,107,145,268,676,19.9
"60",2703060,"Alexandria Public School District",206,854,983,492,30393,29359,134,113,0,502,6466,64896,9840,744,13605,"27041","N","10820",4230,59023,2277,398,885,852,142,40113,29320,6724,105,3964,16633,11404,11404,0,200,0,3645,1384,58924,48863,31213,8461,31327,22065,6025,12413,783,1777,831,1852,7170,5123,3622,2468,3971,162101,63439,20808,100,3.9,0.7,68,49.7,28.2,19.3,0.3,6.2,11007,7379,2000,7406,5216,1424,2935,185,420,196,438,21.1
"61",2703150,"Annandale Public School District",876,328,365,271,11068,10656,47,26,0,46,2317,74045,3889,888,4509,"27171","378","33460",1893,25504,595,145,0,306,144,16795,12524,2179,847,1245,8114,5155,5155,0,53,75,1723,1108,26208,20927,12276,4037,12865,8651,2994,5927,419,693,444,1022,3349,2135,3794,518,969,24950,0,1415,100,2.3,0.6,65.9,49.1,31.8,20.2,0.5,6.8,10508,6485,2133,6796,4570,1582,3131,221,366,235,540,21.7
"62",2703180,"Anoka-Hennepin Public School District",11,8638,8968,5996,241076,198940,18100,13159,117,7311,60103,85112,70537,1162,86851,"27003","378","33460",38764,549405,22934,4587,7393,8551,2403,394526,279942,56919,2454,55211,131945,76065,76065,0,17117,166,24112,14485,553559,502698,317618,103689,324294,226792,75232,135753,18545,30775,11217,17264,57952,42651,40813,5706,4342,224529,157409,8675,100,4.2,0.8,71.8,51,24,13.8,3.1,4.4,12374,8194,2675,8366,5851,1941,3502,478,794,289,445,20.4
"63",2703300,"Ashby Public School District",261,66,52,28,1528,1471,2,2,0,30,408,62000,463,782,596,"27051","N","N",260,3961,135,17,0,83,35,2625,2141,206,0,278,1201,984,984,0,8,7,159,43,3277,2854,1831,434,1812,1276,305,790,31,51,87,142,479,252,226,114,83,1950,0,455,100,3.4,0.4,66.3,54.1,30.3,24.8,0.4,4,10723,7042,1669,6969,4908,1173,3038,119,196,335,546,19.2
"64",2703450,"Austin Public School District",492,1165,979,554,28565,23597,1527,1409,248,685,7152,50128,7719,734,11258,"27099","462","12380",5328,74664,5781,1243,1438,2144,956,55072,36762,6126,111,12073,13811,6476,6476,0,77,416,1819,5023,75034,68987,39529,16554,44747,28242,11823,18494,2619,2720,1783,2734,8638,5746,3061,1743,1243,41554,0,2329,100,7.7,1.7,73.8,49.2,18.5,8.7,0.7,2.4,12473,7419,3107,8398,5301,2219,3471,492,511,335,513,18.9
"65",2703540,"Badger Public School District",676,49,54,19,1153,1111,1,14,0,26,296,53036,405,655,490,"27135","N","N",236,3501,122,24,0,68,30,2725,2188,204,0,333,654,284,284,0,28,176,71,95,3630,3265,2011,471,1885,1290,259,1193,87,188,286,62,570,187,227,136,2,0,0,34,100,3.5,0.7,77.8,62.5,18.7,8.1,5.8,2,13644,8521,1996,7987,5466,1097,5055,369,797,1212,263,21.3
"66",2703570,"Bagley Public School District",162,216,273,153,6312,5276,16,17,2,340,1627,50974,1873,706,2361,"27029","N","N",1056,14050,1056,335,0,316,405,10888,7756,1341,23,1768,2106,1464,1464,0,50,2,428,162,14889,12143,7208,1741,7492,4725,1210,3875,75,546,310,549,2395,776,1380,984,382,11583,0,713,100,7.5,2.4,77.5,55.2,15,10.4,0.4,3,11308,6826,1649,7095,4474,1146,3670,71,517,294,520,18.8
"67",2703660,"Barnesville Public School District",146,196,175,87,4572,4363,40,13,5,69,1241,80500,1491,735,1774,"27027","244","22020",854,9708,188,69,0,104,15,7526,6588,556,0,382,1994,1094,1094,0,25,87,607,181,10916,9232,5399,1457,5875,4013,1105,2713,255,298,254,393,1513,644,1360,279,45,1620,1620,0,100,1.9,0.7,77.5,67.9,20.5,11.3,1.2,6.3,10518,6322,1706,6879,4699,1294,3177,299,349,297,460,20.5
"68",2703690,"Barnum Public School District",91,108,137,68,3790,3686,2,27,0,54,865,68700,1360,786,1536,"27017","N","20260",752,9634,444,93,169,161,21,7323,5348,981,378,616,1867,969,969,0,21,230,491,156,9954,9042,5885,2039,5725,4074,1310,2627,149,320,337,437,1384,690,698,158,56,2111,130,460,100,4.6,1,76,55.5,19.4,10.1,2.6,5.1,11658,7826,2711,7613,5418,1742,3493,198,426,448,581,20.9
"69",2703750,"Battle Lake Public School District",542,82,95,36,3820,3692,15,1,2,77,558,58644,1562,814,1781,"27111","N","22260",425,6108,199,63,0,100,36,3640,3116,237,0,287,2269,1791,1791,0,5,12,299,162,5384,4838,2984,835,2946,2111,543,1455,76,118,155,147,959,437,375,152,19,0,0,570,100,3.3,1,59.6,51,37.1,29.3,0.3,4.9,11005,7021,1965,6932,4967,1278,3424,179,278,365,346,20.2
"70",2703870,"Becker Public School District",726,520,434,315,12049,11593,58,53,0,225,3530,93302,3714,1036,4052,"27141","378","33460",2902,37712,604,125,0,378,101,24468,19847,2837,6,1778,12640,9707,9707,0,117,10,2114,692,36927,33149,19889,8571,21278,13875,6044,9207,733,1514,385,1636,4939,2664,2611,240,927,32305,2326,2988,100,1.6,0.3,64.9,52.6,33.5,25.7,0.3,5.6,10994,6854,2953,7332,4781,2083,3173,253,522,133,564,20.8
"71",2704050,"Belle Plaine Public School District",716,383,318,241,9512,8910,179,216,2,48,2606,83883,2733,969,3130,"27139","378","33460",1654,22353,552,106,189,207,50,14679,12077,1522,25,1055,7122,4348,4348,0,644,5,1558,567,19745,16132,9137,3082,10193,6754,2322,4603,361,493,478,690,2581,1336,2132,412,1069,28574,1903,2749,100,2.5,0.5,65.7,54,31.9,19.5,2.9,7,9344,5524,1863,6163,4083,1404,2783,218,298,289,417,20.5
"72",2704440,"Bemidji Public School District",31,1386,1312,721,38793,32391,677,393,32,1891,8603,52557,10475,811,15227,"27007","N","13420",5231,75710,4975,1481,881,1825,788,54800,37247,8163,222,9168,15935,10747,10747,0,498,323,2508,1859,95042,67822,42166,14525,42467,28878,9750,19712,1557,2423,1228,2430,12074,5643,24924,517,1779,43426,0,3049,100,6.6,2,72.4,49.2,21,14.2,1.1,3.3,12568,8061,2777,8118,5521,1864,3768,298,463,235,465,21.5
"73",2704470,"Benson Public School District",777,181,168,120,5258,5016,170,23,0,36,1163,54882,1614,696,2405,"27151","N","N",862,11729,531,132,0,245,154,8454,6144,1287,0,1023,2744,1530,1530,0,37,216,714,247,12550,11157,7033,1873,7044,4982,1274,2816,328,232,371,446,1439,1297,991,402,0,0,0,35,100,4.5,1.1,72.1,52.4,23.4,13,2.2,6.1,12140,8159,2173,8172,5780,1478,3267,381,269,430,517,17.4
"74",2705430,"Bertha-Hewitt Public School District",786,130,111,90,3460,3330,29,0,0,96,866,47868,1133,626,1408,"27153","N","N",478,7128,496,191,0,231,74,5489,4063,528,0,898,1143,680,680,0,11,98,257,97,7985,5736,3337,904,3500,2505,677,1704,109,173,218,116,1088,532,1135,952,162,4315,0,436,100,7,2.7,77,57,16,9.5,1.5,3.6,11506,6981,1891,7322,5241,1416,3565,228,362,456,243,17.9
"75",2705460,"Big Lake Public School District",727,798,643,431,18463,16971,283,166,0,388,4907,90912,5508,968,6216,"27141","378","33460",3091,42706,873,245,0,503,125,29503,22916,2753,6,3828,12330,8794,8794,0,53,25,2764,694,46300,34815,20269,7228,20603,14117,5117,10286,1086,1548,822,1475,5355,3926,9248,703,1534,41985,4084,3685,100,2,0.6,69.1,53.7,28.9,20.6,0.2,6.5,10504,6557,2338,6665,4567,1655,3328,351,501,266,477,20.1
"76",2705660,"Bird Island-Olivia-Lake Lillian",2534,145,166,88,4857,4535,9,24,0,67,1015,61571,1533,678,2070,"27129","N","N",699,9320,571,114,0,220,237,6720,5369,286,46,1019,2029,1492,1492,0,10,6,356,165,10028,8691,4621,1040,4649,3348,747,3157,197,445,259,294,1962,885,1053,267,17,1044,634,410,100,6.1,1.2,72.1,57.6,21.8,16,0.2,3.8,11804,6611,1488,6651,4790,1069,4516,282,637,371,421,20.8
"77",2705730,"Blackduck Public School District",32,126,155,50,3766,3441,20,34,0,91,859,46250,1228,634,1513,"27007","N","13420",642,9044,517,179,0,253,85,7336,5121,1092,0,1123,1191,812,812,0,106,0,202,71,9665,7925,4609,1446,5085,3110,1012,2311,160,287,135,369,1360,529,882,683,175,4683,0,705,100,5.7,2,81.1,56.6,13.2,9,1.2,2.2,12171,7179,2252,7921,4844,1576,3600,249,447,210,575,18.7
"78",2705760,"Blooming Prairie Public School District",756,158,111,99,4142,4054,5,4,3,19,1076,68000,1374,719,1602,"27147","N","36940",734,9870,358,59,9,141,149,6997,5574,792,0,631,2515,2024,2024,0,29,0,374,88,8956,8092,4620,1466,4947,3448,1116,2533,165,383,116,427,1442,612,409,200,255,10624,0,1040,100,3.6,0.6,70.9,56.5,25.5,20.5,0.3,3.8,10755,6294,1997,6740,4698,1520,3451,225,522,158,582,20.5
"79",2705790,"Bloomington Public School District",271,2253,2752,1512,85294,64245,8188,4574,11,3565,17013,75132,23845,1178,35469,"27053","378","33460",10668,179271,6935,1545,1762,2677,951,109008,68494,18546,268,21700,63328,46909,46909,0,3896,239,8385,3899,193784,160867,102170,35501,102693,69952,23539,41623,5253,9257,4369,5781,16963,16551,23898,4511,4508,121390,0,7290,100,3.9,0.9,60.8,38.2,35.3,26.2,2.3,4.7,14020,9577,3328,9626,6557,2207,3902,492,868,410,542,21.5
"80",2706060,"Braham Public School District",314,209,159,109,5845,5558,71,13,0,176,1274,58932,1939,866,2383,"27059","378","33460",738,9600,471,165,0,204,102,6861,5146,498,485,732,2268,1622,1622,0,36,24,401,185,8929,7973,4732,1472,4911,3398,1034,2342,123,71,343,254,1551,720,397,229,330,9057,0,728,100,4.9,1.7,71.5,53.6,23.6,16.9,0.6,4.2,10459,6412,1995,6654,4604,1401,3173,167,96,465,344,19.5
"81",2706090,"Brainerd Public School District",181,1621,1423,838,43641,41555,421,243,2,768,10109,57484,13144,823,17968,"27035","N","14660",6744,98992,3761,1306,0,1778,677,68076,45424,13637,129,8886,27155,18979,18979,0,331,239,3872,3734,96717,84154,48589,19068,53910,35792,13828,23645,1730,4225,1667,3182,12841,6599,6286,1777,4500,187187,149857,5720,100,3.8,1.3,68.8,45.9,27.4,19.2,0.6,3.9,12016,7205,2827,7994,5307,2050,3506,257,626,247,472,22.4
"82",2706150,"Breckenridge Public School District",846,111,137,130,4705,4626,25,1,0,27,1020,57043,1632,509,2191,"27167","244","47420",647,9682,418,113,0,200,105,6704,5237,671,43,753,2560,1679,1679,0,21,187,446,227,9311,8175,5210,1254,4908,3474,828,2358,212,253,246,362,1285,909,567,270,299,9165,0,587,100,4.3,1.2,69.2,54.1,26.4,17.3,2.1,4.6,11921,8053,1938,7586,5369,1280,3645,328,391,380,560,20.8
"83",2706240,"Brooklyn Center School District",286,346,263,86,8169,4351,2356,646,0,288,2270,55976,1695,1066,3143,"27053","378","33460",2566,39618,2883,579,451,1158,695,30289,18932,1497,402,9458,6446,2828,2828,0,1474,0,526,1618,39755,35126,19391,6085,20744,11753,3613,11422,1570,1817,1952,1303,4780,2960,2777,718,1134,51570,30108,1548,100,7.3,1.5,76.5,47.8,16.3,7.1,3.7,1.3,13132,7557,2371,8084,4580,1408,4451,612,708,761,508,16.7
"84",2706300,"Browerville Public School District",787,148,114,149,4039,3838,24,34,0,126,1058,53308,1266,589,1508,"27153","N","N",559,8199,512,193,0,219,100,6119,3846,802,680,791,1568,547,547,0,45,609,217,150,11224,7216,3702,964,3839,2761,712,2840,109,181,201,229,2120,537,3455,366,187,11845,10797,145,100,6.2,2.4,74.6,46.9,19.1,6.7,8,2.6,12614,6623,1725,6868,4939,1274,5081,195,324,360,410,19.4
"85",2707200,"Buffalo-Hanover-Montrose Public Schools",877,1520,1123,809,33830,32760,190,268,0,380,9219,82205,9914,986,12253,"27171","378","33460",5821,79270,2561,441,994,961,165,55328,41781,7473,249,5825,21381,13828,13828,0,316,164,4838,2235,79178,68595,39945,14981,42574,28243,10804,19288,1486,4206,1002,1587,11007,6733,6993,1323,2267,74923,6029,4621,100,3.2,0.6,69.8,52.7,27,17.4,0.6,6.1,11155,6862,2574,7314,4852,1856,3314,255,723,172,273,21.2
"86",2707290,"Burnsville Public School District",191,1932,1925,1481,68261,49844,8808,4159,101,2554,15803,78002,18464,1152,27139,"27037","378","33460",9030,150595,7446,1546,2017,3406,477,95133,59078,14904,130,21021,48016,33468,33468,0,4629,48,6186,3685,153318,137306,80645,31573,81520,53355,22360,42530,3888,9713,4279,6077,18573,13256,8121,1770,6121,174492,0,4973,100,4.9,1,63.2,39.2,31.9,22.2,3.1,4.1,14383,8931,3496,9028,5909,2476,4710,431,1076,474,673,20.3
"87",2707320,"Butterfield Public School District",836,23,31,16,988,848,0,102,0,14,250,54659,342,650,385,"27165","N","N",204,3381,196,29,0,94,73,2590,1875,229,0,486,595,478,478,0,2,0,75,40,3383,3056,1749,447,1649,1181,328,1145,148,103,134,192,568,262,158,161,8,191,0,39,100,5.8,0.9,76.6,55.5,17.6,14.1,0.1,2.2,14353,8574,2191,8083,5789,1608,5613,725,505,657,941,20.6
"88",2707350,"Byron Public School District",531,326,367,219,8120,7847,12,162,0,83,2318,93871,2746,971,3088,"27109","462","40340",2079,26248,403,39,0,184,180,18338,15136,1396,0,1806,7507,4925,4925,0,25,14,2122,421,31046,21036,12679,3820,12476,8664,2664,6305,868,899,703,798,3037,2255,7740,482,1788,54820,777,2345,100,1.5,0.1,69.9,57.7,28.6,18.8,0.1,8.1,9624,6099,1837,6001,4167,1281,3033,418,432,338,384,22.9
"89",2707380,"Caledonia Public School District",299,162,207,94,5839,5644,125,31,0,12,1281,56910,2095,657,2555,"27055","N","29100",690,12376,347,120,0,172,55,8571,5671,739,141,2020,3458,2563,2563,0,0,61,733,101,10378,8627,5115,1541,5015,3498,1053,2733,124,407,306,395,1501,879,1045,204,502,13450,0,886,100,2.8,1,69.3,45.8,27.9,20.7,0.5,5.9,11958,7413,2233,7268,5070,1526,3961,180,590,443,572,21
"90",2707410,"Cambridge-Isanti Public School District",911,1062,1224,636,30274,28745,152,542,6,568,7526,76113,9070,1031,11174,"27059","378","33460",4995,66952,2073,465,0,956,652,47983,35588,6163,38,6194,16896,11353,11353,0,226,900,3236,1181,66623,57739,36448,12793,35683,23542,8619,17366,1466,3547,1080,3018,8255,4690,4740,2041,2103,80591,0,5539,100,3.1,0.7,71.7,53.2,25.2,17,1.7,4.8,11075,7297,2561,7144,4713,1726,3477,293,710,216,604,19.9
"91",2707450,"Campbell-Tintah Public School District",852,27,29,11,624,611,0,0,0,11,158,60234,220,850,253,"27167","244","47420",162,2578,98,24,0,53,21,1743,1387,142,0,214,737,640,640,0,9,0,48,40,2337,2125,1303,266,1170,832,170,785,9,49,158,62,507,170,42,53,117,3308,0,215,100,3.8,0.9,67.6,53.8,28.6,24.8,0.3,1.9,12710,8043,1642,7222,5136,1049,4846,56,302,975,383,15.8
"92",2707470,"Canby Public School District",891,107,121,65,3173,3102,11,6,0,39,640,53750,1156,471,1417,"27173","N","N",570,7928,374,77,0,163,134,5753,4401,420,408,524,1801,1298,1298,0,49,8,356,90,6652,6052,3679,821,3533,2525,520,1956,151,215,182,376,1032,563,434,142,24,7372,0,404,100,4.7,1,72.6,55.5,22.7,16.4,0.7,4.5,10247,6454,1440,6198,4430,912,3432,265,377,319,660,19.7
"93",2707500,"Cannon Falls Public School District",252,222,286,133,7757,7563,0,50,0,133,1687,76715,2508,908,3112,"27049","378","39860",1149,16522,412,103,0,203,106,10015,8047,1064,23,881,6095,4259,4259,0,36,37,1140,623,15788,12992,7427,2273,7640,4980,1578,3841,272,592,246,559,2172,1511,846,802,1148,20025,6856,8624,100,2.5,0.6,60.6,48.7,36.9,25.8,0.4,6.9,10595,6464,1978,6649,4334,1373,3343,237,515,214,487,21.7
"94",2707590,"Carlton Public School District",93,113,112,132,4545,3896,30,52,0,148,914,63393,1511,663,1825,"27017","N","20260",464,6620,519,125,113,94,187,4319,3194,452,230,443,1782,1211,1211,0,33,57,288,193,8214,6103,3569,1167,3424,2246,771,2239,128,263,329,403,1116,440,1897,202,12,6120,5853,154,100,7.8,1.9,65.2,48.2,26.9,18.3,1.4,4.4,12688,7692,2515,7379,4841,1662,4825,276,567,709,869,20.6
"95",2708070,"Cass Lake-Bena Public Schools",115,249,208,113,4529,1612,17,44,2,336,1571,43094,1093,634,1665,"27021","N","14660",1207,26445,7046,471,0,741,5834,15692,9092,2238,131,4231,3707,3108,3108,0,122,0,64,413,28133,21889,12162,3375,13991,8087,2336,6483,704,572,876,1335,2996,1415,3491,1957,796,19740,0,1270,100,26.6,1.8,59.3,34.4,14,11.8,0.5,0.2,17715,10076,2796,11592,6700,1935,5371,583,474,726,1106,14
"96",2708100,"Centennial Public School District",12,916,1458,710,32855,28972,964,1187,0,1295,7945,98067,9904,1213,11216,"27003","378","33460",6707,94004,2785,597,1312,736,140,65647,47142,13290,91,5124,25572,13291,13291,0,2726,641,6901,2013,96283,81585,46712,17713,52316,34488,13169,21719,1905,1772,1182,2963,13897,7550,11182,2025,1491,113709,0,5796,100,3,0.6,69.8,50.1,27.2,14.1,3.6,7.3,11527,6965,2641,7800,5142,1963,3238,284,264,176,442,21.6
"97",2708190,"Eastern Carver County Public Schools",112,2254,2368,1465,59136,53048,1272,2417,0,1664,15881,103848,17306,1227,21640,"27019","378","33460",9847,152279,3871,428,1790,1348,305,86469,68433,10149,379,7508,61939,42296,42296,0,3974,229,11664,3776,166993,123604,79392,19434,71799,52473,13094,39131,3885,8413,3159,4399,19275,12674,34954,1623,6812,159015,0,12180,100,2.5,0.3,56.8,44.9,40.7,27.8,2.8,7.7,11775,8063,1974,7291,5329,1330,3974,395,854,321,447,22.9
"98",2708220,"Chatfield Public Schools",227,188,204,129,5198,5070,38,20,0,58,1262,76761,1681,759,2082,"27109","462","40340",917,12164,265,84,0,99,82,7934,6759,527,0,648,3965,2722,2722,0,23,36,727,457,19531,9929,5959,1378,5676,4068,967,3283,251,322,547,481,1682,970,7597,279,1726,47061,0,610,100,2.2,0.7,65.2,55.6,32.6,22.4,0.5,6,10196,6498,1503,6190,4436,1055,3580,274,351,597,525,20.1
"99",2708880,"Franconia Public School District",323,10,11,0,240,235,0,0,0,5,45,96875,89,870,98,"27163","378","33460",0,318,0,0,0,0,0,227,209,18,0,0,91,88,88,0,2,0,0,1,257,257,0,0,237,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,100,0,0,71.4,65.7,28.6,27.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,NA
"100",2708910,"Chisholm Public School District",695,288,275,61,5837,5647,33,3,13,136,1388,43704,1868,608,2564,"27137","N","20260",732,11390,409,198,0,176,35,7751,5845,712,0,1194,3230,591,591,0,2114,12,181,332,10627,9725,5325,2223,5799,3476,1601,3443,175,158,412,552,2146,483,380,478,44,8755,0,480,100,3.6,1.7,68.1,51.3,28.4,5.2,18.7,1.6,13052,7275,3037,7922,4749,2187,4704,239,216,563,754,18.3
"101",2708940,"Chokio-Alberta Public School District",771,28,44,35,1347,1226,2,20,0,15,261,61250,376,654,464,"27149","N","N",159,2454,75,15,0,38,22,1696,1419,181,0,96,683,487,487,0,9,5,103,79,2653,2389,1287,283,1426,989,235,766,10,11,74,115,556,197,95,169,0,0,0,0,100,3.1,0.6,69.1,57.8,27.8,19.8,0.6,4.2,14453,8094,1780,8969,6220,1478,4818,63,69,465,723,NA
"102",2709330,"Cleveland Public School District",391,40,99,67,2576,2536,3,24,0,8,608,83676,952,752,1012,"27079","378","33460",514,6174,209,13,0,93,103,4335,3799,198,3,335,1630,1108,1108,0,23,1,310,188,6130,5317,3276,737,2865,2072,438,1925,97,173,279,252,1124,527,705,105,3,398,479,81,100,3.4,0.2,70.2,61.5,26.4,17.9,0.4,5,9922,6374,1434,5574,4031,852,3745,189,337,543,490,20.9
"103",2709360,"Climax-Shelly Public Schools",592,33,18,14,868,798,0,4,5,14,213,54583,291,606,348,"27119","N","24220",226,3313,174,43,0,99,32,2595,1970,256,0,369,544,322,322,0,11,0,38,173,3002,2494,1500,318,1471,979,210,811,15,76,212,136,372,212,370,129,9,3230,2835,91,100,5.3,1.3,78.3,59.5,16.4,9.7,0.3,1.1,10770,6637,1407,6509,4332,929,3588,66,336,938,602,17.2
"104",2709420,"Cloquet Public School District",94,512,661,304,14442,12478,192,101,0,497,3768,56274,4136,794,5676,"27017","N","20260",2625,41260,1970,473,462,595,440,28769,20292,3496,6,4975,10521,6164,6164,0,72,133,2324,1828,51057,34617,20332,6470,22606,14911,4995,8894,646,1377,963,1479,4429,3117,12313,1626,2501,63450,5013,2090,100,4.8,1.1,69.7,49.2,25.5,14.9,0.5,5.6,12447,7746,2465,8612,5680,1903,3388,246,525,367,563,21.6
"105",2709440,"ROCORI Public School District",750,414,497,240,13403,12883,20,35,2,134,3193,74805,4513,822,5200,"27145","378","41060",2100,29055,1121,264,60,517,280,19714,14014,2256,1123,2321,8220,5888,5888,0,63,34,1595,640,28613,24991,14501,5103,14885,9775,3471,8014,712,1363,557,1310,4072,2092,1326,452,1844,55642,0,1918,100,3.9,0.9,67.9,48.2,28.3,20.3,0.3,5.5,11571,6905,2430,7088,4655,1653,3816,339,649,265,624,22.3
"106",2709480,"Greenway Public School District",316,280,307,221,8810,8237,56,24,0,227,2139,55088,2989,726,3561,"27061","N","24330",1087,18146,955,285,212,339,119,11861,6975,2515,503,1868,5330,2469,2469,0,2261,59,292,249,16932,14164,7481,2864,9131,5632,2195,4201,282,506,370,562,2481,832,1074,1139,555,21140,0,807,100,5.3,1.6,65.4,38.4,29.4,13.6,12.8,1.6,12822,6882,2635,8400,5181,2019,3865,259,466,340,517,20.3
"107",2709510,"Columbia Heights Public School District",13,829,642,347,26421,16797,4832,1520,15,1329,5594,57973,6950,963,10766,"27003","378","33460",3322,55068,3488,928,434,1562,564,39421,24161,2736,478,12046,12159,6753,6753,0,2700,406,1150,1150,53001,45628,24727,9991,28383,18375,7171,13388,1759,911,1190,1169,8359,3857,3728,2907,738,10625,0,1765,100,6.3,1.7,71.6,43.9,22.1,12.3,5.6,2.1,13196,7443,3008,8544,5531,2159,4030,530,274,358,352,17
"108",2709540,"Comfrey Public School District",81,36,37,45,949,930,2,2,0,11,254,56583,344,600,401,"27015","359","35580",144,2347,93,20,0,53,20,1635,1282,203,0,150,619,302,302,0,5,42,229,41,2441,2242,1343,318,1508,954,253,496,14,50,91,0,341,238,74,125,0,0,0,0,100,4,0.9,69.7,54.6,26.4,12.9,2,9.8,14792,9326,2208,10472,6625,1757,3444,97,347,632,0,NA
"109",2709690,"Cromwell-Wright Public Schools",95,64,82,40,1824,1803,0,0,0,15,385,57813,608,852,778,"27017","N","20260",321,5210,247,44,68,97,38,3822,2782,273,229,538,1141,825,825,0,75,2,109,130,4559,3934,2219,507,2273,1556,354,1368,85,132,320,93,738,293,263,206,156,5311,0,316,100,4.7,0.8,73.4,53.4,21.9,15.8,1.5,2.1,11916,6913,1579,7081,4847,1103,4262,265,411,997,290,18.4
"110",2709720,"Crookston Public School District",593,197,399,262,9447,8474,227,216,4,197,2096,57853,2507,711,3605,"27119","N","24220",1241,17375,1037,244,292,390,111,12150,8768,1435,31,1916,4188,2985,2985,0,60,77,613,453,16873,15676,9118,3942,9964,6334,2866,4255,242,661,262,818,2272,1457,703,83,411,13182,0,690,100,6,1.4,69.9,50.5,24.1,17.2,0.8,3.5,12108,7347,3176,8029,5104,2309,3429,195,533,211,659,18.8
"111",2709750,"Crosby-Ironton Public School District",182,297,296,201,11019,10482,77,20,0,346,2047,53082,3796,760,4731,"27035","N","14660",1051,16697,718,320,0,289,109,10071,7282,1729,19,1041,5908,3536,3536,0,1001,6,465,900,14775,12760,6951,1697,7570,5078,1220,4232,377,333,384,509,2629,958,955,724,336,9985,0,1865,100,4.3,1.9,60.3,43.6,35.4,21.2,6,2.8,11810,6614,1615,7203,4832,1161,4027,359,317,365,484,20.5
"112",2710060,"Dassel-Cokato Public School District",466,362,484,313,10033,9526,72,66,14,203,2730,68841,2766,784,3549,"27171","378","33460",2270,26195,831,255,0,402,174,21125,16837,2311,9,1968,4239,2632,2632,0,33,64,1241,269,25717,23454,14797,4160,15001,10785,3041,6666,643,1276,254,920,3573,1787,1373,732,158,4210,0,880,100,3.2,1,80.6,64.3,16.2,10,0.4,4.7,9990,6519,1833,6608,4751,1340,2937,283,562,112,405,20.7
"113",2710090,"Dawson-Boyd Public School District",378,87,103,63,2849,2744,40,12,0,21,574,54188,1020,545,1246,"27073","N","N",567,7730,364,47,0,170,147,5810,4532,741,4,533,1556,907,907,0,14,26,473,136,8028,7101,4515,1410,4304,3021,972,2094,301,111,317,302,1063,703,619,220,88,3340,515,240,100,4.7,0.6,75.2,58.6,20.1,11.7,0.5,6.1,11972,7963,2487,7591,5328,1714,3693,531,196,559,533,21.1
"114",2710140,"Deer River Public School District",317,240,152,105,5287,4246,23,0,0,111,1185,54215,1804,655,2175,"27061","N","24330",951,16934,1882,261,0,471,1150,11092,6789,2173,12,2118,3960,1913,1913,0,738,219,302,788,19034,15161,8556,2675,9124,5943,1882,5089,296,1397,613,412,2371,948,2403,1012,458,17025,1081,860,100,11.1,1.5,65.5,40.1,23.4,11.3,5.7,1.8,15608,8997,2813,9594,6249,1979,5351,311,1469,645,433,18.3
